0	0	0
43	18	7
89	74	72
124	114	119
151	144	151
176	170	181
202	197	210
228	224	240
253	251	268
288	286	308
323	320	345
357	353	382
394	387	422
431	425	464
472	465	501
511	499	525
531	524	543
550	542	560
568	559	576
585	575	591
602	591	606
619	607	620
635	622	634
652	637	647
668	651	660
683	665	672
699	679	684
715	693	696
730	707	707
745	720	718
762	733	729
776	747	739
791	760	750
805	773	759
821	786	769
836	798	779
852	811	788
867	824	797
882	837	806
897	850	815
912	863	824
928	876	832
943	889	841
959	902	849
974	915	857
990	928	865
1006	941	873
1021	954	881
1037	968	888
1052	981	896
1068	994	903
1082	1007	915
1097	1020	926
1111	1033	937
1126	1045	949
1140	1058	961
1155	1071	972
1170	1084	984
1185	1097	995
1201	1111	1007
1216	1124	1018
1231	1138	1030
1247	1151	1041
1262	1165	1053
1278	1178	1064
1293	1192	1076
1309	1206	1088
1325	1220	1100
1341	1234	1112
1358	1248	1124
1374	1263	1136
1391	1277	1148
1408	1291	1160
1425	1306	1172
1442	1320	1185
1459	1335	1197
1477	1351	1210
1495	1366	1223
1513	1381	1235
1531	1397	1248
1545	1412	1261
1558	1428	1274
1571	1444	1287
1585	1461	1300
1599	1477	1313
1613	1494	1327
1627	1510	1341
1642	1527	1355
1656	1542	1369
1671	1555	1383
1686	1567	1397
1701	1580	1412
1717	1593	1427
1733	1606	1441
1749	1620	1457
1765	1633	1472
1781	1647	1487
1798	1661	1503
1814	1676	1518
1831	1690	1534
1849	1705	1546
1866	1720	1558
1884	1736	1570
1902	1751	1582
1921	1767	1595
1940	1783	1607
1958	1800	1620
1976	1816	1633
1993	1833	1647
2010	1850	1660
2027	1868	1674
2045	1886	1688
2074	1904	1702
2105	1923	1717
2132	1941	1732
2161	1960	1747
2188	1977	1762
2213	1995	1778
2235	2012	1794
2259	2030	1810
2281	2049	1827
2303	2079	1844
2322	2109	1861
2341	2137	1879
2361	2165	1897
2379	2192	1916
2397	2216	1935
2415	2238	1954
2433	2262	1971
2450	2283	1989
2467	2303	2007
2483	2322	2024
2499	2340	2042
2516	2359	2070
2531	2377	2100
2546	2394	2128
2560	2411	2155
2575	2428	2181
2592	2444	2206
2608	2460	2228
2624	2475	2249
2639	2489	2271
2655	2504	2291
2669	2520	2309
2684	2534	2327
2700	2547	2344
2716	2560	2362
2730	2575	2378
2744	2590	2394
2758	2605	2409
2772	2620	2425
2787	2634	2440
2801	2649	2455
2815	2663	2469
2829	2677	2482
2844	2691	2496
2858	2706	2510
2872	2720	2524
2885	2733	2536
2899	2747	2548
2912	2760	2561
2926	2774	2574
2941	2787	2589
2954	2800	2602
2967	2813	2616
2980	2827	2629
2994	2841	2643
3007	2855	2657
3021	2868	2669
3035	2881	2682
3048	2893	2695
3061	2906	2709
3074	2919	2722
3089	2933	2734
3104	2946	2746
3118	2958	2758
3132	2971	2771
3146	2984	2784
3161	2997	2796
3175	3010	2808
3189	3023	2821
3202	3036	2834
3216	3048	2847
3231	3061	2859
3246	3075	2871
3260	3088	2883
3274	3102	2895
3288	3116	2907
3303	3129	2919
3318	3143	2932
3332	3157	2944
3346	3170	2956
3361	3183	2968
3375	3197	2980
3389	3210	2992
3402	3224	3004
3416	3238	3017
3430	3253	3029
3443	3267	3041
3457	3281	3053
3470	3295	3065
3484	3309	3078
3498	3323	3091
3511	3338	3105
3525	3352	3117
3538	3367	3130
3551	3381	3143
3566	3395	3156
3579	3409	3169
3591	3422	3182
3603	3436	3195
3615	3450	3208
3626	3464	3222
3638	3478	3235
3649	3492	3249
3661	3507	3263
3673	3521	3277
3685	3535	3290
3696	3550	3304
3708	3564	3319
3720	3578	3334
3732	3591	3348
3745	3604	3362
3757	3617	3377
3769	3630	3392
3782	3642	3405
3794	3655	3420
3806	3669	3434
3819	3681	3449
3831	3695	3464
3842	3709	3479
3850	3722	3494
3858	3737	3509
3866	3751	3525
3874	3766	3541
3883	3781	3557
3891	3795	3572
3899	3811	3588
3908	3827	3603
3917	3842	3617
3926	3852	3633
3935	3862	3648
3945	3873	3664
3955	3885	3680
3964	3896	3697
3974	3909	3714
3985	3922	3733
3996	3936	3752
4007	3951	3773
4018	3968	3795
4029	3986	3818
4040	4006	3840
4052	4029	3858
4062	4056	3877
4070	4071	3952
4080	4080	4080
4080	4080	4080
