0	0	0	
76	38	0	
94	64	0	
112	88	0	
133	112	54	
146	130	103	
161	146	131	
176	163	152	
190	179	171	
207	195	189	
223	209	204	
240	225	220	
254	241	235	
270	255	248	
287	271	261	
303	287	275	
320	301	288	
337	317	300	
354	331	312	
371	346	324	
389	361	335	
408	377	346	
425	394	357	
442	410	368	
458	424	380	
475	438	392	
494	452	403	
518	466	414	
542	482	424	
566	499	434	
589	520	444	
611	541	453	
632	561	463	
653	580	474	
674	600	485	
696	619	497	
716	637	512	
736	656	527	
756	674	542	
776	692	557	
796	710	571	
815	727	586	
834	745	600	
853	762	615	
871	779	629	
889	796	644	
908	813	659	
927	830	674	
945	848	688	
961	864	703	
979	881	718	
997	897	732	
1014	914	747	
1031	930	761	
1048	946	775	
1066	961	790	
1083	978	804	
1101	994	818	
1118	1009	832	
1135	1025	847	
1153	1042	860	
1170	1058	874	
1188	1073	888	
1206	1089	901	
1226	1105	915	
1242	1121	929	
1258	1137	942	
1278	1153	955	
1295	1169	968	
1313	1185	982	
1330	1200	995	
1347	1213	1008	
1365	1229	1021	
1382	1245	1034	
1399	1261	1047	
1418	1276	1061	
1435	1292	1074	
1453	1308	1087	
1470	1324	1100	
1488	1339	1114	
1506	1355	1127	
1523	1371	1140	
1541	1388	1153	
1559	1403	1166	
1576	1419	1180	
1594	1436	1193	
1611	1451	1206	
1630	1467	1220	
1647	1483	1233	
1665	1499	1246	
1683	1515	1259	
1701	1531	1272	
1719	1547	1285	
1737	1564	1299	
1755	1580	1312	
1774	1596	1326	
1792	1613	1339	
1811	1629	1352	
1830	1646	1365	
1848	1662	1379	
1864	1679	1392	
1880	1696	1405	
1896	1712	1419	
1912	1728	1433	
1927	1746	1446	
1943	1762	1460	
1960	1778	1473	
1975	1795	1487	
1989	1813	1500	
2006	1830	1513	
2021	1847	1527	
2037	1863	1540	
2054	1878	1554	
2071	1893	1568	
2090	1907	1582	
2107	1921	1595	
2127	1936	1609	
2144	1951	1623	
2163	1963	1637	
2181	1978	1651	
2197	1993	1665	
2213	2008	1679	
2229	2023	1694	
2245	2038	1708	
2260	2054	1722	
2274	2071	1736	
2288	2088	1750	
2303	2105	1765	
2318	2122	1779	
2332	2140	1793	
2347	2157	1808	
2362	2174	1823	
2376	2190	1837	
2391	2205	1851	
2406	2220	1865	
2422	2235	1878	
2436	2249	1890	
2452	2263	1903	
2468	2277	1915	
2483	2291	1928	
2498	2305	1941	
2513	2319	1953	
2526	2332	1965	
2541	2346	1977	
2556	2360	1990	
2572	2374	2003	
2588	2389	2016	
2605	2403	2029	
2621	2417	2041	
2637	2432	2055	
2655	2447	2070	
2673	2461	2085	
2689	2476	2100	
2707	2491	2115	
2725	2505	2131	
2744	2519	2146	
2761	2532	2161	
2779	2546	2176	
2796	2562	2189	
2816	2578	2202	
2833	2593	2216	
2848	2609	2229	
2863	2625	2242	
2879	2643	2255	
2895	2659	2267	
2911	2676	2279	
2926	2693	2291	
2943	2711	2304	
2959	2729	2317	
2974	2746	2329	
2990	2764	2341	
3006	2781	2354	
3021	2799	2366	
3037	2818	2379	
3054	2834	2392	
3073	2849	2405	
3088	2865	2418	
3103	2880	2431	
3117	2897	2445	
3132	2912	2458	
3146	2928	2472	
3159	2945	2485	
3173	2961	2499	
3187	2976	2511	
3201	2993	2524	
3215	3009	2536	
3229	3024	2550	
3244	3041	2564	
3258	3058	2579	
3273	3076	2594	
3287	3092	2609	
3302	3107	2623	
3317	3122	2639	
3331	3137	2655	
3345	3151	2671	
3359	3165	2687	
3373	3179	2704	
3387	3193	2720	
3401	3208	2738	
3416	3223	2754	
3431	3239	2771	
3446	3254	2788	
3461	3269	2805	
3475	3285	2823	
3491	3300	2839	
3506	3315	2854	
3522	3330	2869	
3541	3345	2884	
3554	3361	2900	
3567	3376	2916	
3582	3391	2932	
3593	3407	2948	
3603	3423	2964	
3614	3439	2980	
3624	3455	2996	
3634	3472	3013	
3645	3488	3029	
3656	3506	3046	
3667	3522	3065	
3678	3532	3082	
3689	3546	3098	
3700	3562	3114	
3711	3577	3130	
3722	3591	3145	
3733	3603	3161	
3745	3615	3176	
3757	3627	3191	
3768	3639	3207	
3780	3652	3224	
3792	3665	3241	
3803	3678	3258	
3816	3691	3276	
3828	3705	3293	
3840	3719	3311	
3852	3733	3329	
3864	3748	3346	
3876	3762	3365	
3888	3777	3383	
3900	3792	3402	
3912	3807	3422	
3924	3823	3442	
3937	3839	3463	
3949	3855	3485	
3962	3871	3508	
3974	3888	3532	
3987	3906	3554	
3999	3923	3576	
4012	3942	3596	
4024	3960	3614	
4037	3978	3632	
4050	3998	3653	
4064	4018	3675	
4068	4038	3699	
4072	4062	3726	
4076	4072	3756	
4080	4080	3791	
4080	4080	3791	
